Detector_Name 	 dx3 	 cx2 	 ax 	 b
PARIS_FR3D4	0	-2.48859e-10	0.0163437	-9.4674
PARIS_FR3D4	0	0	1	0
PARIS_FR3D5	0	3.8538e-09	0.016346	23.5847
PARIS_FR3D5	0	0	1	0
PARIS_FR3D6	0	2.76891e-09	0.0153425	46.0254
PARIS_FR3D6	0	0	1	0
PARIS_FR3D7	0	-9.0378e-09	0.0221126	-770.673
PARIS_FR3D7	0	0	1	0
PARIS_FR3D8	0	1.88741e-09	0.0150709	58.4543
PARIS_FR3D8	0	0	1	0
PARIS_FR3D9	0	2.16179e-09	0.0156866	56.8969
PARIS_FR3D9	0	0	1	0
PARIS_FR3D10	0	1.93752e-10	0.015495	2.87351
PARIS_FR3D10	0	0	1	0
PARIS_FR3D11	0	1.14191e-09	0.0164362	15.6609
PARIS_FR3D11	0	0	1	0
PARIS_FR3D12	0	0	1	0
PARIS_FR3D12	0	0	1	0
