# Spectre_numero    Detecteur       a_opt         b_opt  
1007           PARIS305       1.000000     0.404615     
1008           PARIS50        1.000000     0.405768     
1008           PARIS70        1.000000     0.494742     
1008           PARIS90        1.000000     0.359752     
1008           PARIS110       1.000000     0.621165     
1008           PARIS130       1.000000     0.464026     
1008           PARIS235       1.000000     0.610848     
1008           PARIS262       1.000000     0.142836     
1008           PARIS278       1.000000     0.340925     
1008           PARIS305       1.000000     0.417521     
1009           PARIS50        1.000000     0.516992     
1009           PARIS70        1.000000     0.499469     
1009           PARIS90        1.000000     0.394136     
1009           PARIS110       1.000000     0.615144     
1009           PARIS130       1.000000     0.483879     
1009           PARIS235       1.000000     0.609366     
1009           PARIS262       1.000000     -2.724576    
1009           PARIS278       1.000000     0.296896     
1009           PARIS305       1.000000     0.351276     
1010           PARIS50        1.000000     0.599843     
1010           PARIS70        1.000000     0.501404     
1010           PARIS90        1.000000     0.394507     
1010           PARIS110       1.000000     0.611332     
1010           PARIS130       1.000000     0.505404     
1010           PARIS235       1.000000     0.613999     
1010           PARIS262       1.000000     0.063817     
1010           PARIS278       1.000000     0.405681     
1010           PARIS305       1.000000     0.421828     
1011           PARIS50        1.000000     0.583485     
1011           PARIS70        1.000000     0.515809     
1011           PARIS90        1.000000     0.478183     
1011           PARIS110       1.000000     0.673828     
1011           PARIS130       1.000000     0.498643     
1011           PARIS235       1.000000     0.550003     
1011           PARIS262       1.000000     0.110261     
1011           PARIS278       1.000000     0.353269     
1011           PARIS305       1.000000     0.404836     
1014           PARIS50        1.000000     0.548152     
1014           PARIS70        1.000000     0.604637     
1014           PARIS90        1.000000     0.443192     
1014           PARIS110       1.000000     0.626713     
1014           PARIS130       1.000000     0.444161     
1014           PARIS235       1.000000     0.444515     
1014           PARIS262       1.000000     0.261022     
1014           PARIS278       1.000000     0.402569     
1014           PARIS305       1.000000     0.432995     
1015           PARIS50        1.000000     0.639440     
1015           PARIS70        1.000000     0.691053     
1015           PARIS90        1.000000     0.440509     
1015           PARIS110       1.000000     0.676119     
1015           PARIS130       1.000000     0.381497     
1015           PARIS235       1.000000     0.442959     
1015           PARIS262       1.000000     0.171116     
1015           PARIS278       1.000000     0.343923     
1015           PARIS305       1.000000     0.423509     
1016           PARIS50        1.000000     0.540521     
1016           PARIS70        1.000000     0.652145     
1016           PARIS90        1.000000     0.393687     
1016           PARIS110       1.000000     0.712354     
1016           PARIS130       1.000000     0.457825     
1016           PARIS235       1.000000     0.508690     
1016           PARIS262       1.000000     0.070965     
1016           PARIS278       1.000000     0.361143     
1016           PARIS305       1.000000     0.436111     
1017           PARIS50        1.000000     0.482037     
1017           PARIS70        1.000000     0.477833     
1017           PARIS90        1.000000     0.451675     
1017           PARIS110       1.000000     0.627209     
1017           PARIS130       1.000000     0.476956     
1017           PARIS235       1.000000     0.604112     
1017           PARIS262       1.000000     0.104004     
1017           PARIS278       1.000000     0.381494     
1017           PARIS305       1.000000     0.450164     
1018           PARIS50        1.000000     0.531408     
1018           PARIS70        1.000000     0.495201     
1018           PARIS90        1.000000     0.411818     
1018           PARIS110       1.000000     0.592112     
1018           PARIS130       1.000000     0.411101     
1018           PARIS235       1.000000     0.617328     
1018           PARIS262       1.000000     -7.497404    
1018           PARIS278       1.000000     0.363430     
1018           PARIS305       1.000000     0.417781     
1019           PARIS50        1.000000     0.462778     
1019           PARIS70        1.000000     0.452544     
1019           PARIS90        1.000000     0.400043     
1019           PARIS110       1.000000     0.643921     
1019           PARIS130       1.000000     0.424791     
1019           PARIS235       1.000000     0.621502     
1019           PARIS262       1.000000     0.024828     
1019           PARIS278       1.000000     0.332155     
1019           PARIS305       1.000000     0.459252     
1020           PARIS50        1.000000     0.512360     
1020           PARIS70        1.000000     0.386778     
1020           PARIS90        1.000000     0.391005     
1020           PARIS110       1.000000     0.585037     
1020           PARIS130       1.000000     0.463284     
1020           PARIS235       1.000000     0.644890     
1020           PARIS262       1.000000     0.050886     
1020           PARIS278       1.000000     0.351229     
1020           PARIS305       1.000000     0.435649     
1021           PARIS50        1.000000     0.435662     
1021           PARIS70        1.000000     0.446552     
1021           PARIS90        1.000000     0.461442     
1021           PARIS110       1.000000     0.631513     
1021           PARIS130       1.000000     0.382806     
1021           PARIS235       1.000000     0.627169     
1021           PARIS262       1.000000     0.138045     
1021           PARIS278       1.000000     0.367749     
1021           PARIS305       1.000000     0.396839     
1022           PARIS50        1.000000     0.476551     
1022           PARIS70        1.000000     0.416583     
1022           PARIS90        1.000000     0.363433     
1022           PARIS110       1.000000     0.633175     
1022           PARIS130       1.000000     0.450033     
1022           PARIS235       1.000000     0.619210     
1022           PARIS262       1.000000     0.060267     
1022           PARIS278       1.000000     0.424162     
1022           PARIS305       1.000000     0.407264     
1023           PARIS50        1.000000     0.455280     
1023           PARIS70        1.000000     0.500348     
1023           PARIS90        1.000000     0.418036     
1023           PARIS110       1.000000     0.648006     
1023           PARIS130       1.000000     0.491893     
1023           PARIS235       1.000000     0.616072     
1023           PARIS262       1.000000     0.038556     
1023           PARIS278       1.000000     0.268587     
1023           PARIS305       1.000000     0.407290     
1024           PARIS50        1.000000     0.494705     
1024           PARIS70        1.000000     0.512226     
1024           PARIS90        1.000000     0.452366     
1024           PARIS110       1.000000     0.595708     
1024           PARIS130       1.000000     0.464210     
1024           PARIS235       1.000000     0.516654     
1024           PARIS262       1.000000     0.257748     
1024           PARIS278       1.000000     0.413939     
1024           PARIS305       1.000000     0.433033     
1026           PARIS50        1.000000     0.563208     
1026           PARIS70        1.000000     2.535779     
1026           PARIS90        1.000000     0.090353     
1026           PARIS110       1.000000     1.604041     
1026           PARIS130       1.000000     0.245220     
1026           PARIS235       1.000000     0.382935     
1026           PARIS262       1.000000     -7.459219    
1026           PARIS278       1.000000     -2.584461    
1026           PARIS305       1.000000     -2.444317    
1031           PARIS50        1.000000     0.451491     
1031           PARIS70        1.000000     0.543403     
1031           PARIS90        1.000000     0.415604     
1031           PARIS110       1.000000     0.651405     
1031           PARIS130       1.000000     0.476208     
1031           PARIS235       1.000000     0.615346     
1031           PARIS262       1.000000     0.063062     
1031           PARIS278       1.000000     0.441459     
1031           PARIS305       1.000000     0.460868     
1032           PARIS50        1.000000     0.451351     
1032           PARIS70        1.000000     0.580862     
1032           PARIS90        1.000000     0.366642     
1032           PARIS110       1.000000     0.666538     
1032           PARIS130       1.000000     0.510716     
1032           PARIS235       1.000000     0.596871     
1032           PARIS262       1.000000     0.079768     
1032           PARIS278       1.000000     0.364641     
1032           PARIS305       1.000000     0.403798     
1033           PARIS50        1.000000     0.524359     
1033           PARIS70        1.000000     0.516818     
1033           PARIS90        1.000000     0.456230     
1033           PARIS110       1.000000     0.536266     
1033           PARIS130       1.000000     0.529268     
1033           PARIS235       1.000000     0.560252     
1033           PARIS262       1.000000     0.356224     
1033           PARIS278       1.000000     0.400667     
1033           PARIS305       1.000000     0.464052     
1034           PARIS50        1.000000     0.441967     
1034           PARIS70        1.000000     0.558422     
1034           PARIS90        1.000000     0.391587     
1034           PARIS110       1.000000     0.653833     
1034           PARIS130       1.000000     0.478788     
1034           PARIS235       1.000000     0.616355     
1034           PARIS262       1.000000     0.059204     
1034           PARIS278       1.000000     0.369446     
1034           PARIS305       1.000000     0.445412     
1035           PARIS50        1.000000     0.465970     
1035           PARIS70        1.000000     0.442708     
1035           PARIS90        1.000000     0.351707     
1035           PARIS110       1.000000     0.613626     
1035           PARIS130       1.000000     0.408037     
1035           PARIS235       1.000000     0.642935     
1035           PARIS262       1.000000     0.065175     
1035           PARIS278       1.000000     0.341558     
1035           PARIS305       1.000000     0.441135     
1036           PARIS50        1.000000     0.494072     
1036           PARIS70        1.000000     0.396221     
1036           PARIS90        1.000000     0.373013     
1036           PARIS110       1.000000     0.571011     
1036           PARIS130       1.000000     0.381647     
1036           PARIS235       1.000000     46.502415    
1036           PARIS262       1.000000     0.101855     
1036           PARIS278       1.000000     0.329334     
1036           PARIS305       1.000000     0.399831     
1037           PARIS50        1.000000     0.377859     
1037           PARIS70        1.000000     0.349286     
1037           PARIS90        1.000000     0.377386     
1037           PARIS110       1.000000     0.576567     
1037           PARIS130       1.000000     0.347127     
1037           PARIS235       1.000000     43.498714    
1037           PARIS262       1.000000     0.083128     
1037           PARIS278       1.000000     0.370077     
1037           PARIS305       1.000000     0.478314     
1038           PARIS50        1.000000     0.449977     
1038           PARIS70        1.000000     0.424863     
1038           PARIS90        1.000000     0.383461     
1038           PARIS110       1.000000     0.557121     
1038           PARIS130       1.000000     0.330151     
1038           PARIS235       1.000000     41.485442    
1038           PARIS262       1.000000     0.024709     
1038           PARIS278       1.000000     0.396597     
1038           PARIS305       1.000000     0.455903     
1039           PARIS50        1.000000     0.400032     
1039           PARIS70        1.000000     0.367266     
1039           PARIS90        1.000000     0.331093     
1039           PARIS110       1.000000     0.541680     
1039           PARIS130       1.000000     0.355526     
1039           PARIS235       1.000000     25.476118    
1039           PARIS262       1.000000     0.157386     
1039           PARIS278       1.000000     0.370162     
1039           PARIS305       1.000000     0.491155     
1040           PARIS50        1.000000     0.437560     
1040           PARIS70        1.000000     0.415104     
1040           PARIS90        1.000000     0.375915     
1040           PARIS110       1.000000     0.551277     
1040           PARIS130       1.000000     0.370125     
1040           PARIS235       1.000000     0.691157     
1040           PARIS262       1.000000     0.138962     
1040           PARIS278       1.000000     0.324849     
1040           PARIS305       1.000000     0.527150     
1041           PARIS50        1.000000     0.427457     
1041           PARIS70        1.000000     0.422343     
1041           PARIS90        1.000000     0.309225     
1041           PARIS110       1.000000     0.529759     
1041           PARIS130       1.000000     0.472103     
1041           PARIS235       1.000000     0.592595     
1041           PARIS262       1.000000     0.066912     
1041           PARIS278       1.000000     0.369724     
1041           PARIS305       1.000000     0.544162     
1042           PARIS50        1.000000     0.402817     
1042           PARIS70        1.000000     0.333379     
1042           PARIS90        1.000000     0.347916     
1042           PARIS110       1.000000     0.527859     
1042           PARIS130       1.000000     0.282960     
1042           PARIS235       1.000000     23.489000    
1042           PARIS262       1.000000     0.063409     
1042           PARIS278       1.000000     0.336138     
1042           PARIS305       1.000000     0.495767     
1043           PARIS50        1.000000     0.450966     
1043           PARIS70        1.000000     0.370791     
1043           PARIS90        1.000000     0.339407     
1043           PARIS110       1.000000     0.542056     
1043           PARIS130       1.000000     0.383117     
1043           PARIS235       1.000000     0.717815     
1043           PARIS262       1.000000     0.106888     
1043           PARIS278       1.000000     0.310797     
1043           PARIS305       1.000000     0.472900     
1044           PARIS50        1.000000     0.443790     
1044           PARIS70        1.000000     0.440414     
1044           PARIS90        1.000000     0.412239     
1044           PARIS110       1.000000     0.564745     
1044           PARIS130       1.000000     0.378285     
1044           PARIS235       1.000000     44.513482    
1044           PARIS262       1.000000     0.098164     
1044           PARIS278       1.000000     0.398587     
1044           PARIS305       1.000000     0.399719     
1045           PARIS50        1.000000     0.452812     
1045           PARIS70        1.000000     0.504033     
1045           PARIS90        1.000000     0.380071     
1045           PARIS110       1.000000     0.646914     
1045           PARIS130       1.000000     0.368055     
1045           PARIS235       1.000000     45.497674    
1045           PARIS262       1.000000     0.114512     
1045           PARIS278       1.000000     0.382652     
1045           PARIS305       1.000000     0.466088     
1046           PARIS50        1.000000     0.430430     
1046           PARIS70        1.000000     0.461248     
1046           PARIS90        1.000000     0.439782     
1046           PARIS110       1.000000     0.611609     
1046           PARIS130       1.000000     0.342151     
1046           PARIS235       1.000000     42.517676    
1046           PARIS262       1.000000     0.148825     
1046           PARIS278       1.000000     0.395784     
1046           PARIS305       1.000000     0.454463     
1047           PARIS50        1.000000     0.432296     
1047           PARIS70        1.000000     0.409130     
1047           PARIS90        1.000000     0.394381     
1047           PARIS110       1.000000     0.577455     
1047           PARIS130       1.000000     0.277034     
1047           PARIS235       1.000000     20.504255    
1047           PARIS262       1.000000     0.106330     
1047           PARIS278       1.000000     0.317411     
1047           PARIS305       1.000000     0.499558     
1048           PARIS50        1.000000     0.395271     
1048           PARIS70        1.000000     0.383612     
1048           PARIS90        1.000000     0.337990     
1048           PARIS110       1.000000     0.548132     
1048           PARIS130       1.000000     0.379774     
1048           PARIS235       1.000000     0.607594     
1048           PARIS262       1.000000     0.125651     
1048           PARIS278       1.000000     0.414669     
1048           PARIS305       1.000000     0.544826     
1049           PARIS50        1.000000     0.405563     
1049           PARIS70        1.000000     0.424422     
1049           PARIS90        1.000000     0.346178     
1049           PARIS110       1.000000     0.529943     
1049           PARIS130       1.000000     0.462669     
1049           PARIS235       1.000000     0.444220     
1049           PARIS262       1.000000     0.089021     
1049           PARIS278       1.000000     0.328055     
1049           PARIS305       1.000000     0.562992     
1050           PARIS50        1.000000     0.447780     
1050           PARIS70        1.000000     0.387999     
1050           PARIS90        1.000000     0.352118     
1050           PARIS110       1.000000     0.486893     
1050           PARIS130       1.000000     0.390250     
1050           PARIS235       1.000000     0.387106     
1050           PARIS262       1.000000     0.019716     
1050           PARIS278       1.000000     0.358079     
1050           PARIS305       1.000000     0.584900     
1051           PARIS50        1.000000     0.438673     
1051           PARIS70        1.000000     0.441866     
1051           PARIS90        1.000000     0.277299     
1051           PARIS110       1.000000     0.468410     
1051           PARIS130       1.000000     0.372487     
1051           PARIS235       1.000000     0.336672     
1051           PARIS262       1.000000     0.065470     
1051           PARIS278       1.000000     0.334179     
1051           PARIS305       1.000000     0.566716     
1052           PARIS50        1.000000     0.398400     
1052           PARIS70        1.000000     0.484773     
1052           PARIS90        1.000000     0.310971     
1052           PARIS110       1.000000     0.397573     
1052           PARIS130       1.000000     0.273107     
1052           PARIS235       1.000000     0.331174     
1052           PARIS262       1.000000     0.109831     
1052           PARIS278       1.000000     0.321911     
1052           PARIS305       1.000000     0.538237     
1053           PARIS50        1.000000     0.382289     
1053           PARIS70        1.000000     0.468004     
1053           PARIS90        1.000000     0.264154     
1053           PARIS110       1.000000     0.464518     
1053           PARIS130       1.000000     0.294993     
1053           PARIS235       1.000000     0.300306     
1053           PARIS262       1.000000     0.022976     
1053           PARIS278       1.000000     0.386690     
1053           PARIS305       1.000000     0.541249     
1054           PARIS50        1.000000     0.402562     
1054           PARIS70        1.000000     0.389855     
1054           PARIS90        1.000000     0.307333     
1054           PARIS110       1.000000     0.477958     
1054           PARIS130       1.000000     0.396333     
1054           PARIS235       1.000000     0.388189     
1054           PARIS262       1.000000     0.072745     
1054           PARIS278       1.000000     0.304995     
1054           PARIS305       1.000000     0.563212     
1055           PARIS50        1.000000     0.424653     
1055           PARIS70        1.000000     0.396626     
1055           PARIS90        1.000000     0.346877     
1055           PARIS110       1.000000     0.443158     
1055           PARIS130       1.000000     0.445414     
1055           PARIS235       1.000000     0.640426     
1055           PARIS262       1.000000     0.055992     
1055           PARIS278       1.000000     0.297749     
1055           PARIS305       1.000000     0.533017     
1056           PARIS50        1.000000     0.442446     
1056           PARIS70        1.000000     0.339498     
1056           PARIS90        1.000000     0.322364     
1056           PARIS110       1.000000     0.471897     
1056           PARIS130       1.000000     0.330839     
1056           PARIS235       1.000000     19.511028    
1056           PARIS262       1.000000     0.055812     
1056           PARIS278       1.000000     0.362038     
1056           PARIS305       1.000000     0.501667     
1057           PARIS50        1.000000     0.461068     
1057           PARIS70        1.000000     0.391186     
1057           PARIS90        1.000000     0.339986     
1057           PARIS110       1.000000     0.552412     
1057           PARIS130       1.000000     0.326544     
1057           PARIS235       1.000000     33.494664    
1057           PARIS262       1.000000     0.059239     
1057           PARIS278       1.000000     0.309327     
1057           PARIS305       1.000000     0.482959     
1058           PARIS50        1.000000     0.453097     
1058           PARIS70        1.000000     0.394005     
1058           PARIS90        1.000000     0.281270     
1058           PARIS110       1.000000     0.541200     
1058           PARIS130       1.000000     0.316026     
1058           PARIS235       1.000000     35.514583    
1058           PARIS262       1.000000     0.112631     
1058           PARIS278       1.000000     0.335437     
1058           PARIS305       1.000000     0.449816     
1059           PARIS50        1.000000     0.432650     
1059           PARIS70        1.000000     0.372847     
1059           PARIS90        1.000000     0.371668     
1059           PARIS110       1.000000     0.473731     
1059           PARIS130       1.000000     0.305820     
1059           PARIS235       1.000000     34.505796    
1059           PARIS262       1.000000     0.016302     
1059           PARIS278       1.000000     0.374231     
1059           PARIS305       1.000000     0.473691     
1060           PARIS50        1.000000     0.437184     
1060           PARIS70        1.000000     0.326968     
1060           PARIS90        1.000000     0.373390     
1060           PARIS110       1.000000     0.544098     
1060           PARIS130       1.000000     0.323530     
1060           PARIS235       1.000000     32.514104    
1060           PARIS262       1.000000     0.067082     
1060           PARIS278       1.000000     0.356445     
1060           PARIS305       1.000000     0.474992     
1061           PARIS50        1.000000     0.430832     
1061           PARIS70        1.000000     0.376558     
1061           PARIS90        1.000000     0.381515     
1061           PARIS110       1.000000     0.547924     
1061           PARIS130       1.000000     0.258595     
1061           PARIS235       1.000000     33.509816    
1061           PARIS262       1.000000     0.046354     
